Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations,,,
126075,Daily,Throughout the day,Increased energy and focus,No,Neutral,Dangerous,No,5,Unfamiliar with the brand,Bepsi,Brand reputation,Reduced sugar content,Guarana,Yes,Yes,TV commercials,Innovative bottle design,No,50-99,Other,Studying/working late,,,
126076,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,No,2,Not interested in energy drinks,CodeX,Effectiveness,Wider range of flavors,Sugar,Yes,Yes,TV commercials,Innovative bottle design,No,50-99,Gyms and fitness centers,Studying/working late,,,
126077,2-3 times a month,Before exercise,Increased energy and focus,Yes,Neutral,Healthy,No,2,Unfamiliar with the brand,Bepsi,Brand reputation,More natural ingredients,Caffeine,Yes,Yes,Online ads,Innovative bottle design,No,100-150,Supermarkets,Studying/working late,,,
126078,Daily,To stay awake during work/study,To enhance sports performance,No,Neutral,Not sure,Yes,2,Not interested in energy drinks,Others,Effectiveness,Healthier alternatives,Guarana,Yes,Yes,Online ads,Collectible packaging,No,50-99,Supermarkets,Studying/working late,,,
126079,Once a week,For mental alertness,Increased energy and focus,No,Negative,Not sure,No,5,Not available locally,Bepsi,Taste/flavor preference,Reduced sugar content,Caffeine,No,No,Online ads,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
126080,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,Yes,5,Not interested in energy drinks,Gangster,Availability,Wider range of flavors,Caffeine,Yes,Yes,Outdoor billboards,Other,No,100-150,Supermarkets,Studying/working late,,,
126081,2-3 times a week,For mental alertness,To combat fatigue,No,Neutral,Healthy,Yes,2,Unfamiliar with the brand,CodeX,Other,More natural ingredients,Sugar,Yes,Yes,Other,Innovative bottle design,No,50-99,Local stores,Studying/working late,,,
126082,Daily,To stay awake during work/study,To boost performance,No,Negative,Healthy,Yes,3,Unfamiliar with the brand,Blue Bull,Effectiveness,Other,Sugar,No,Yes,Online ads,Collectible packaging,No,100-150,Supermarkets,Studying/working late,,,
126083,Once a week,For mental alertness,To combat fatigue,No,Neutral,Dangerous,Yes,4,Other,Blue Bull,Other,Wider range of flavors,Caffeine,Yes,No,Online ads,Compact and portable cans,Yes,Above 150,Supermarkets,Studying/working late,,,
126084,Daily,For mental alertness,Increased energy and focus,No,Neutral,Healthy,Yes,1,Not available locally,Bepsi,Availability,Healthier alternatives,Vitamins,Yes,No,Other,Compact and portable cans,No,100-150,Supermarkets,Studying/working late,,,
126085,Daily,To stay awake during work/study,To combat fatigue,No,Positive,Not sure,No,5,Other,Gangster,Other,Wider range of flavors,Vitamins,Yes,No,Online ads,Compact and portable cans,Not Sure,Above 150,Other,Studying/working late,,,
126086,Once a week,For mental alertness,To combat fatigue,No,Neutral,Not sure,Yes,3,Not available locally,Bepsi,Availability,Other,Vitamins,Yes,Yes,Outdoor billboards,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late,,,
126087,Rarely,For mental alertness,To combat fatigue,No,Neutral,Not sure,Yes,2,Not interested in energy drinks,CodeX,Effectiveness,More natural ingredients,Guarana,No,Yes,Online ads,Innovative bottle design,No,100-150,Supermarkets,Studying/working late,,,
126088,Rarely,Before exercise,To combat fatigue,Yes,Neutral,Not sure,Yes,3,Not available locally,CodeX,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Online retailers,Studying/working late,,,
126089,2-3 times a week,For mental alertness,To combat fatigue,Yes,Negative,Dangerous,Yes,3,Not available locally,Gangster,Brand reputation,Healthier alternatives,Vitamins,No,No,Online ads,Compact and portable cans,No,50-99,Online retailers,Studying/working late,,,
126090,Rarely,Before exercise,To combat fatigue,No,Neutral,Not sure,No,3,Not interested in energy drinks,Bepsi,Availability,More natural ingredients,Caffeine,Yes,Yes,Online ads,Innovative bottle design,Yes,Below 50,Supermarkets,Studying/working late,,,
126091,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Negative,Effective,Yes,3,Other,Sky 9,Other,Healthier alternatives,Sugar,No,No,Online ads,Innovative bottle design,Not Sure,50-99,Online retailers,Studying/working late,,,
126092,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Effective,Yes,5,Health concerns,Gangster,Brand reputation,Healthier alternatives,Sugar,Yes,Yes,Other,Innovative bottle design,No,Below 50,Supermarkets,Studying/working late,,,
126093,2-3 times a month,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,No,4,Unfamiliar with the brand,Bepsi,Taste/flavor preference,Other,Vitamins,Yes,Yes,TV commercials,Innovative bottle design,Yes,Below 50,Supermarkets,Studying/working late,,,
126094,Rarely,Throughout the day,To combat fatigue,No,Neutral,Effective,No,5,Not available locally,Blue Bull,Taste/flavor preference,Reduced sugar content,Caffeine,No,Yes,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late,,,
126095,2-3 times a week,For mental alertness,Increased energy and focus,No,Neutral,Effective,No,2,Not available locally,Others,Availability,More natural ingredients,Caffeine,Yes,Not Sure,TV commercials,Compact and portable cans,Not Sure,100-150,Other,Studying/working late,,,
126096,Daily,Before exercise,To combat fatigue,Yes,Negative,Dangerous,No,2,Not available locally,Sky 9,Other,Healthier alternatives,Vitamins,No,No,TV commercials,Compact and portable cans,Yes,50-99,Online retailers,Studying/working late,,,
126097,2-3 times a week,To stay awake during work/study,Other,No,Neutral,Dangerous,Yes,3,Other,Cola-Coka,Availability,More natural ingredients,Vitamins,No,Yes,TV commercials,Compact and portable cans,No,Below 50,Online retailers,Studying/working late,,,
126098,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,No,3,Not available locally,CodeX,Availability,Healthier alternatives,Caffeine,No,Yes,Online ads,Collectible packaging,Yes,50-99,Online retailers,Studying/working late,,,
126099,Once a week,Throughout the day,Increased energy and focus,Yes,Negative,Not sure,Yes,3,Not available locally,Cola-Coka,Effectiveness,Wider range of flavors,Caffeine,Yes,No,Online ads,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late,,,
126100,2-3 times a week,Before exercise,To enhance sports performance,Yes,Negative,Dangerous,Yes,2,Not available locally,Bepsi,Other,Reduced sugar content,Guarana,Yes,Yes,Online ads,Eco-friendly design,No,100-150,Gyms and fitness centers,Studying/working late,,,
126101,2-3 times a week,Throughout the day,Increased energy and focus,No,Neutral,Effective,No,2,Not available locally,Bepsi,Effectiveness,More natural ingredients,Vitamins,Yes,Yes,Online ads,Innovative bottle design,No,100-150,Supermarkets,Studying/working late,,,
126102,Once a week,To stay awake during work/study,To combat fatigue,Yes,Positive,Effective,Yes,5,Not interested in energy drinks,Cola-Coka,Taste/flavor preference,Reduced sugar content,Caffeine,No,Yes,Other,Collectible packaging,Not Sure,Above 150,Online retailers,Studying/working late,,,
126103,Once a week,Before exercise,To enhance sports performance,No,Negative,Not sure,No,2,Unfamiliar with the brand,Sky 9,Availability,Healthier alternatives,Guarana,Yes,Yes,Outdoor billboards,Compact and portable cans,Not Sure,100-150,Supermarkets,Studying/working late,,,
126104,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Positive,Not sure,Yes,1,Other,Sky 9,Availability,Wider range of flavors,Sugar,No,Yes,Outdoor billboards,Compact and portable cans,Yes,Above 150,Online retailers,Studying/working late,,,
126105,Once a week,For mental alertness,Increased energy and focus,No,Neutral,Not sure,No,3,Other,Cola-Coka,Taste/flavor preference,Other,Caffeine,Yes,Not Sure,Outdoor billboards,Eco-friendly design,Not Sure,100-150,Supermarkets,Studying/working late,,,
126106,2-3 times a month,For mental alertness,Increased energy and focus,No,Neutral,Effective,Yes,3,Health concerns,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,No,No,Outdoor billboards,Compact and portable cans,No,50-99,Supermarkets,Studying/working late,,,
126107,2-3 times a month,For mental alertness,To enhance sports performance,No,Neutral,Dangerous,Yes,4,Other,Cola-Coka,Effectiveness,More natural ingredients,Caffeine,No,Yes,Outdoor billboards,Innovative bottle design,Yes,100-150,Supermarkets,Studying/working late,,,
126108,Once a week,For mental alertness,To boost performance,No,Neutral,Dangerous,Yes,4,Not available locally,Cola-Coka,Other,Reduced sugar content,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late,,,
126109,2-3 times a month,For mental alertness,To combat fatigue,Yes,Positive,Effective,No,2,Not interested in energy drinks,Cola-Coka,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,Yes,Outdoor billboards,Collectible packaging,Yes,100-150,Supermarkets,Studying/working late,,,
126110,2-3 times a week,Throughout the day,To boost performance,No,Neutral,Effective,Yes,4,Unfamiliar with the brand,Cola-Coka,Other,Wider range of flavors,Vitamins,No,No,Online ads,Innovative bottle design,No,Above 150,Other,Studying/working late,,,
126111,Once a week,For mental alertness,Increased energy and focus,Yes,Negative,Dangerous,Yes,4,Not interested in energy drinks,Gangster,Other,Reduced sugar content,Vitamins,No,Yes,Online ads,Compact and portable cans,No,50-99,Local stores,Studying/working late,,,
126112,2-3 times a week,Before exercise,Increased energy and focus,Yes,Negative,Effective,Yes,2,Other,Others,Brand reputation,Wider range of flavors,Sugar,Yes,Yes,Online ads,Innovative bottle design,Not Sure,Below 50,Supermarkets,Studying/working late,,,
126113,Daily,To stay awake during work/study,To combat fatigue,No,Positive,Effective,Yes,5,Not interested in energy drinks,Gangster,Availability,Reduced sugar content,Caffeine,Yes,Yes,Print media,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
126114,Once a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,No,4,Not available locally,Gangster,Effectiveness,More natural ingredients,Guarana,Yes,Yes,Online ads,Other,Yes,100-150,Supermarkets,Studying/working late,,,
126115,2-3 times a week,For mental alertness,To boost performance,No,Neutral,Not sure,Yes,5,Other,Bepsi,Taste/flavor preference,Wider range of flavors,Caffeine,Yes,No,Online ads,Eco-friendly design,No,50-99,Supermarkets,Studying/working late,,,
126116,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Not sure,No,2,Health concerns,Sky 9,Effectiveness,Reduced sugar content,Sugar,Yes,Yes,Outdoor billboards,Other,No,100-150,Supermarkets,Studying/working late,,,
126117,2-3 times a week,Before exercise,Increased energy and focus,No,Negative,Healthy,No,4,Health concerns,Sky 9,Brand reputation,Wider range of flavors,Sugar,No,Yes,Online ads,Compact and portable cans,No,50-99,Online retailers,Studying/working late,,,
126118,2-3 times a month,Throughout the day,To combat fatigue,No,Positive,Dangerous,No,3,Not interested in energy drinks,Bepsi,Brand reputation,More natural ingredients,Guarana,No,Yes,TV commercials,Innovative bottle design,No,50-99,Gyms and fitness centers,Studying/working late,,,
126119,2-3 times a week,Throughout the day,To boost performance,Yes,Positive,Not sure,No,4,Unfamiliar with the brand,Cola-Coka,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Yes,Online ads,Innovative bottle design,No,50-99,Gyms and fitness centers,Studying/working late,,,
126120,Once a week,Before exercise,Other,No,Neutral,Not sure,Yes,4,Not interested in energy drinks,Others,Other,More natural ingredients,Vitamins,Yes,Yes,Online ads,Collectible packaging,No,50-99,Local stores,Studying/working late,,,
126121,2-3 times a month,For mental alertness,To combat fatigue,Yes,Neutral,Effective,No,3,Other,Sky 9,Taste/flavor preference,More natural ingredients,Sugar,No,Yes,Outdoor billboards,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
126122,2-3 times a month,To stay awake during work/study,To combat fatigue,No,Negative,Dangerous,No,1,Unfamiliar with the brand,Others,Availability,Wider range of flavors,Vitamins,Yes,No,Outdoor billboards,Innovative bottle design,Not Sure,Above 150,Other,Studying/working late,,,
126123,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Neutral,Effective,Yes,4,Health concerns,Sky 9,Other,More natural ingredients,Vitamins,No,Yes,Outdoor billboards,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
126124,Once a week,For mental alertness,To boost performance,Yes,Neutral,Healthy,Yes,5,Unfamiliar with the brand,Sky 9,Availability,More natural ingredients,Caffeine,No,Yes,TV commercials,Innovative bottle design,No,100-150,Local stores,Studying/working late,,,
126125,Daily,Before exercise,To combat fatigue,No,Neutral,Dangerous,Yes,4,Not available locally,Bepsi,Availability,Healthier alternatives,Caffeine,No,No,Outdoor billboards,Collectible packaging,Not Sure,100-150,Online retailers,Studying/working late,,,
126126,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,No,4,Not interested in energy drinks,Sky 9,Effectiveness,Healthier alternatives,Caffeine,No,No,Online ads,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late,,,
126127,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Positive,Dangerous,Yes,1,Unfamiliar with the brand,Cola-Coka,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,Not Sure,TV commercials,Compact and portable cans,Yes,100-150,Gyms and fitness centers,Studying/working late,,,
126128,2-3 times a month,To stay awake during work/study,Increased energy and focus,Yes,Negative,Effective,No,1,Unfamiliar with the brand,Gangster,Availability,Healthier alternatives,Sugar,Yes,Yes,Print media,Collectible packaging,No,50-99,Supermarkets,Studying/working late,,,
126129,Rarely,Before exercise,Increased energy and focus,No,Negative,Effective,No,4,Not available locally,Cola-Coka,Effectiveness,Healthier alternatives,Sugar,Yes,No,Other,Eco-friendly design,Yes,Above 150,Supermarkets,Studying/working late,,,
126130,Once a week,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Dangerous,Yes,5,Not available locally,Bepsi,Brand reputation,Reduced sugar content,Sugar,Yes,Not Sure,TV commercials,Compact and portable cans,Not Sure,Above 150,Supermarkets,Studying/working late,,,
126131,2-3 times a week,For mental alertness,To combat fatigue,No,Neutral,Not sure,No,3,Other,CodeX,Availability,Reduced sugar content,Sugar,No,No,Online ads,Compact and portable cans,Yes,Above 150,Supermarkets,Studying/working late,,,
126132,2-3 times a month,To stay awake during work/study,To combat fatigue,No,Positive,Effective,No,3,Not interested in energy drinks,Gangster,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Yes,TV commercials,Eco-friendly design,Yes,Above 150,Supermarkets,Studying/working late,,,
126133,Rarely,To stay awake during work/study,To combat fatigue,No,Neutral,Not sure,No,5,Unfamiliar with the brand,Sky 9,Taste/flavor preference,More natural ingredients,Caffeine,Yes,No,Online ads,Collectible packaging,Not Sure,Above 150,Supermarkets,Studying/working late,,,
126134,2-3 times a week,For mental alertness,To enhance sports performance,No,Negative,Dangerous,Yes,1,Unfamiliar with the brand,Blue Bull,Taste/flavor preference,More natural ingredients,Sugar,No,No,TV commercials,Other,No,50-99,Supermarkets,Studying/working late,,,
126135,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Not sure,Yes,2,Other,Gangster,Brand reputation,Reduced sugar content,Guarana,No,No,Online ads,Compact and portable cans,Yes,50-99,Local stores,Studying/working late,,,
126136,2-3 times a week,Throughout the day,To boost performance,Yes,Positive,Healthy,No,3,Not available locally,Bepsi,Brand reputation,Wider range of flavors,Vitamins,Yes,Yes,TV commercials,Innovative bottle design,Yes,Below 50,Supermarkets,Studying/working late,,,
126137,2-3 times a week,Before exercise,To combat fatigue,Yes,Neutral,Effective,No,5,Not interested in energy drinks,Cola-Coka,Brand reputation,Healthier alternatives,Guarana,No,Yes,TV commercials,Compact and portable cans,Yes,50-99,Local stores,Studying/working late,,,
126138,2-3 times a month,Throughout the day,Other,Yes,Neutral,Healthy,Yes,3,Not interested in energy drinks,Bepsi,Taste/flavor preference,More natural ingredients,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,No,50-99,Gyms and fitness centers,Studying/working late,,,
126139,Daily,For mental alertness,Increased energy and focus,Yes,Positive,Not sure,No,5,Not available locally,Gangster,Taste/flavor preference,Wider range of flavors,Guarana,No,No,Online ads,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
126140,Rarely,To stay awake during work/study,To combat fatigue,Yes,Neutral,Not sure,Yes,5,Not interested in energy drinks,CodeX,Brand reputation,Wider range of flavors,Vitamins,No,Yes,Outdoor billboards,Compact and portable cans,Yes,50-99,Online retailers,Studying/working late,,,
126141,2-3 times a month,For mental alertness,Increased energy and focus,No,Negative,Effective,No,4,Unfamiliar with the brand,Sky 9,Brand reputation,Other,Sugar,Yes,Yes,Online ads,Innovative bottle design,No,100-150,Online retailers,Studying/working late,,,
126142,Once a week,To stay awake during work/study,Increased energy and focus,No,Positive,Not sure,Yes,4,Health concerns,CodeX,Other,Healthier alternatives,Caffeine,No,Yes,TV commercials,Other,Not Sure,Above 150,Gyms and fitness centers,Studying/working late,,,
126143,2-3 times a month,Throughout the day,To enhance sports performance,No,Neutral,Healthy,Yes,3,Not available locally,Sky 9,Availability,Wider range of flavors,Vitamins,No,Yes,Online ads,Eco-friendly design,No,50-99,Other,Studying/working late,,,
126144,2-3 times a week,Before exercise,Increased energy and focus,Yes,Negative,Not sure,No,4,Unfamiliar with the brand,Blue Bull,Taste/flavor preference,More natural ingredients,Guarana,No,Not Sure,Online ads,Innovative bottle design,Yes,100-150,Online retailers,Studying/working late,,,
126145,2-3 times a week,Before exercise,To enhance sports performance,No,Neutral,Dangerous,No,3,Health concerns,Cola-Coka,Other,More natural ingredients,Caffeine,No,Yes,Other,Compact and portable cans,No,100-150,Other,Studying/working late,,,
126146,2-3 times a month,To stay awake during work/study,To boost performance,No,Positive,Healthy,No,1,Health concerns,Cola-Coka,Taste/flavor preference,Wider range of flavors,Caffeine,No,No,Outdoor billboards,Innovative bottle design,No,100-150,Supermarkets,Studying/working late,,,
126147,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Positive,Effective,Yes,5,Not available locally,Gangster,Availability,Wider range of flavors,Guarana,Yes,No,Online ads,Collectible packaging,Not Sure,50-99,Online retailers,Studying/working late,,,
126148,2-3 times a month,Before exercise,To boost performance,Yes,Neutral,Healthy,No,4,Health concerns,Gangster,Availability,Other,Vitamins,Yes,Yes,Other,Compact and portable cans,No,50-99,Supermarkets,Studying/working late,,,
126149,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Negative,Healthy,No,1,Unfamiliar with the brand,CodeX,Taste/flavor preference,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
126150,2-3 times a week,To stay awake during work/study,Other,Yes,Neutral,Not sure,No,1,Not available locally,CodeX,Taste/flavor preference,Healthier alternatives,Sugar,No,Not Sure,Online ads,Compact and portable cans,Yes,100-150,Supermarkets,Studying/working late,,,
126151,Rarely,For mental alertness,To boost performance,No,Neutral,Dangerous,Yes,3,Health concerns,Bepsi,Brand reputation,Wider range of flavors,Guarana,Yes,Yes,Online ads,Compact and portable cans,Yes,100-150,Gyms and fitness centers,Studying/working late,,,
126152,2-3 times a month,Throughout the day,Increased energy and focus,No,Neutral,Dangerous,Yes,5,Unfamiliar with the brand,CodeX,Effectiveness,More natural ingredients,Guarana,Yes,No,TV commercials,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
126153,Once a week,Throughout the day,Increased energy and focus,No,Neutral,Not sure,Yes,3,Other,Gangster,Brand reputation,More natural ingredients,Caffeine,No,No,TV commercials,Compact and portable cans,No,Below 50,Supermarkets,Studying/working late,,,
126154,2-3 times a month,Before exercise,To boost performance,No,Negative,Healthy,No,3,Health concerns,Blue Bull,Brand reputation,Healthier alternatives,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,No,100-150,Online retailers,Studying/working late,,,
126155,2-3 times a week,For mental alertness,To enhance sports performance,Yes,Neutral,Healthy,No,4,Unfamiliar with the brand,Bepsi,Availability,Reduced sugar content,Vitamins,No,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Local stores,Studying/working late,,,
126156,Once a week,Before exercise,Increased energy and focus,No,Neutral,Healthy,Yes,2,Not interested in energy drinks,Bepsi,Availability,Wider range of flavors,Vitamins,Yes,No,Online ads,Eco-friendly design,Yes,100-150,Local stores,Studying/working late,,,
126157,2-3 times a week,For mental alertness,To boost performance,Yes,Neutral,Dangerous,Yes,5,Unfamiliar with the brand,CodeX,Effectiveness,Wider range of flavors,Vitamins,No,No,Online ads,Eco-friendly design,No,Above 150,Supermarkets,Studying/working late,,,
126158,Daily,To stay awake during work/study,To enhance sports performance,No,Negative,Dangerous,No,4,Other,Cola-Coka,Availability,Reduced sugar content,Sugar,Yes,Not Sure,Other,Collectible packaging,No,50-99,Online retailers,Studying/working late,,,
126159,Daily,Before exercise,To combat fatigue,Yes,Positive,Healthy,No,1,Health concerns,Cola-Coka,Taste/flavor preference,Healthier alternatives,Vitamins,Yes,Not Sure,TV commercials,Other,Yes,50-99,Online retailers,Studying/working late,,,
126160,Rarely,Before exercise,To combat fatigue,No,Positive,Dangerous,Yes,5,Not available locally,Gangster,Effectiveness,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,Above 150,Supermarkets,Studying/working late,,,
126161,Rarely,Before exercise,Increased energy and focus,Yes,Negative,Effective,Yes,2,Unfamiliar with the brand,Cola-Coka,Effectiveness,Wider range of flavors,Sugar,Yes,No,TV commercials,Innovative bottle design,Yes,50-99,Online retailers,Studying/working late,,,
126162,2-3 times a week,For mental alertness,To combat fatigue,Yes,Neutral,Not sure,No,3,Other,CodeX,Other,More natural ingredients,Guarana,No,Yes,Other,Eco-friendly design,Yes,50-99,Supermarkets,Studying/working late,,,
126163,Once a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Not sure,No,4,Health concerns,Blue Bull,Effectiveness,Reduced sugar content,Sugar,Yes,No,TV commercials,Collectible packaging,Yes,100-150,Supermarkets,Studying/working late,,,
126164,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Negative,Not sure,Yes,3,Not interested in energy drinks,Sky 9,Brand reputation,Wider range of flavors,Caffeine,Yes,Not Sure,Online ads,Innovative bottle design,No,50-99,Supermarkets,Studying/working late,,,
126165,Once a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,No,4,Not interested in energy drinks,Cola-Coka,Availability,More natural ingredients,Caffeine,No,No,Outdoor billboards,Eco-friendly design,Yes,Below 50,Supermarkets,Studying/working late,,,
126166,2-3 times a week,Before exercise,To boost performance,Yes,Positive,Not sure,Yes,1,Not available locally,Bepsi,Taste/flavor preference,Healthier alternatives,Vitamins,Yes,Not Sure,Online ads,Eco-friendly design,Not Sure,100-150,Supermarkets,Studying/working late,,,
126167,Once a week,Before exercise,Increased energy and focus,No,Positive,Effective,No,2,Not available locally,Sky 9,Effectiveness,Wider range of flavors,Vitamins,No,Yes,TV commercials,Compact and portable cans,Not Sure,100-150,Supermarkets,Studying/working late,,,
126168,2-3 times a month,Before exercise,To combat fatigue,Yes,Positive,Dangerous,No,1,Not interested in energy drinks,Blue Bull,Availability,Reduced sugar content,Vitamins,Yes,Yes,Online ads,Collectible packaging,No,Above 150,Supermarkets,Studying/working late,,,
126169,Rarely,To stay awake during work/study,To enhance sports performance,No,Neutral,Dangerous,Yes,3,Unfamiliar with the brand,Bepsi,Brand reputation,Reduced sugar content,Caffeine,No,Yes,Online ads,Innovative bottle design,Yes,50-99,Online retailers,Studying/working late,,,
126170,2-3 times a month,Throughout the day,To combat fatigue,Yes,Neutral,Effective,Yes,3,Not interested in energy drinks,Cola-Coka,Availability,More natural ingredients,Vitamins,No,No,Online ads,Collectible packaging,Yes,50-99,Local stores,Studying/working late,,,
126171,2-3 times a week,For mental alertness,To boost performance,Yes,Positive,Dangerous,Yes,5,Other,Cola-Coka,Effectiveness,Wider range of flavors,Sugar,Yes,Yes,Print media,Innovative bottle design,Yes,100-150,Online retailers,Studying/working late,,,
126172,2-3 times a week,Before exercise,To enhance sports performance,Yes,Neutral,Not sure,Yes,4,Health concerns,Bepsi,Effectiveness,Reduced sugar content,Vitamins,Yes,No,TV commercials,Compact and portable cans,Not Sure,100-150,Gyms and fitness centers,Studying/working late,,,
126173,2-3 times a month,For mental alertness,Increased energy and focus,No,Neutral,Not sure,Yes,3,Not interested in energy drinks,Gangster,Taste/flavor preference,Other,Guarana,Yes,Yes,Other,Innovative bottle design,Not Sure,Above 150,Online retailers,Studying/working late,,,
126174,Once a week,To stay awake during work/study,To combat fatigue,Yes,Negative,Not sure,No,3,Health concerns,Gangster,Brand reputation,More natural ingredients,Sugar,No,Not Sure,TV commercials,Compact and portable cans,No,50-99,Online retailers,Studying/working late,,,
126175,2-3 times a week,Before exercise,Other,No,Neutral,Dangerous,Yes,3,Health concerns,Gangster,Other,More natural ingredients,Sugar,No,Not Sure,Online ads,Other,No,Above 150,Other,Studying/working late,,,
126176,2-3 times a month,To stay awake during work/study,To enhance sports performance,No,Neutral,Healthy,No,4,Health concerns,Cola-Coka,Effectiveness,More natural ingredients,Vitamins,No,No,Other,Compact and portable cans,No,Below 50,Supermarkets,Studying/working late,,,
126177,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Healthy,Yes,3,Other,Blue Bull,Taste/flavor preference,Healthier alternatives,Vitamins,No,Yes,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late,,,
126178,Rarely,Before exercise,To combat fatigue,No,Neutral,Effective,No,2,Health concerns,Bepsi,Brand reputation,More natural ingredients,Caffeine,Yes,No,TV commercials,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late,,,
126179,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,No,3,Not interested in energy drinks,Bepsi,Brand reputation,Reduced sugar content,Guarana,Yes,Yes,TV commercials,Collectible packaging,No,100-150,Supermarkets,Studying/working late,,,
126180,Once a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Not sure,No,2,Health concerns,Bepsi,Taste/flavor preference,More natural ingredients,Caffeine,No,Yes,Online ads,Innovative bottle design,Yes,Above 150,Supermarkets,Studying/working late,,,
126181,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Neutral,Not sure,Yes,5,Not available locally,CodeX,Other,Wider range of flavors,Caffeine,Yes,No,Print media,Eco-friendly design,Not Sure,50-99,Supermarkets,Studying/working late,,,
126182,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,No,1,Not interested in energy drinks,Gangster,Taste/flavor preference,Healthier alternatives,Guarana,No,Yes,Outdoor billboards,Compact and portable cans,No,Below 50,Online retailers,Studying/working late,,,
126183,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Healthy,Yes,3,Other,Blue Bull,Availability,Wider range of flavors,Guarana,Yes,Not Sure,Online ads,Compact and portable cans,Yes,100-150,Local stores,Studying/working late,,,
126184,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Positive,Effective,Yes,2,Not interested in energy drinks,Gangster,Availability,More natural ingredients,Sugar,Yes,Not Sure,Online ads,Eco-friendly design,Yes,50-99,Supermarkets,Studying/working late,,,
126185,2-3 times a week,Throughout the day,Increased energy and focus,No,Neutral,Not sure,No,4,Health concerns,Bepsi,Brand reputation,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late,,,
126186,2-3 times a week,Before exercise,To boost performance,Yes,Neutral,Effective,No,2,Unfamiliar with the brand,Bepsi,Other,Reduced sugar content,Sugar,Yes,No,TV commercials,Innovative bottle design,Not Sure,Below 50,Online retailers,Studying/working late,,,
